timestamp(ms);DataLoss;Millisekunden_pro_100000_Nachrichten;
"1705349767,755";"0";;
"1705349767,757";;"50893";
"1705349818,646";"0";;
"1705349818,648";;"50892";
"1705349869,538";"0";;
"1705349869,54";;"50893";
"1705349920,429";"0";;
"1705349920,431";;"50891";
"1705349971,319";"0";;
"1705349971,322";;"50892";
"1705350022,21";"0";;
"1705350022,212";;"50891";
"1705350073,105";"0";;
"1705350073,106";;"50892";
"1705350123,991";"0";;
"1705350123,993";;"50892";
"1705350174,881";"0";;
"1705350174,884";;"50891";
"1705350225,772";"0";;
"1705350225,774";;"50891";
"1705350276,663";"0";;
"1705350276,665";;"50892";
"1705350327,554";"0";;
"1705350327,556";;"50892";
"1705350378,445";"0";;
"1705350378,447";;"50892";
"1705350429,338";"0";;
"1705350429,34";;"50894";
"1705350480,228";"0";;
"1705350480,231";;"50891";
"1705350531,119";"0";;
"1705350531,121";;"50892";
"1705350582,011";"0";;
"1705350582,013";;"50893";
"1705350632,903";"0";;
"1705350632,905";;"50893";
"1705350683,795";"0";;
"1705350683,798";;"50893";
"1705350734,688";"0";;
"1705350734,69";;"50894";
"1705350785,58";"0";;
"1705350785,582";;"50893";
"1705350836,471";"0";;
"1705350836,474";;"50892";
"1705350887,364";"0";;
"1705350887,366";;"50893";
"1705350938,255";"0";;
"1705350938,257";;"50893";
"1705350989,147";"0";;
"1705350989,149";;"50893";
"1705351040,038";"0";;
"1705351040,041";;"50892";
"1705351090,928";"0";;
"1705351090,931";;"50891";
"1705351141,82";"0";;
"1705351141,822";;"50892";
"1705351192,711";"0";;
"1705351192,713";;"50893";
"1705351243,602";"0";;
"1705351243,604";;"50892";
"1705351294,493";"0";;
"1705351294,495";;"50891";
"1705351345,385";"0";;
"1705351345,387";;"50893";
"1705351396,276";"0";;
"1705351396,278";;"50892";
"1705351447,167";"0";;
"1705351447,169";;"50892";
"1705351498,059";"0";;
"1705351498,062";;"50893";
"1705351548,95";"0";;
"1705351548,952";;"50892";
"1705351599,841";"0";;
"1705351599,843";;"50892";
"1705351650,732";"0";;
"1705351650,734";;"50892";
"1705351701,623";"0";;
"1705351701,625";;"50892";
"1705351752,513";"0";;
"1705351752,515";;"50891";
"1705351803,403";"0";;
"1705351803,406";;"50891";
"1705351854,294";"0";;
"1705351854,297";;"50892";
"1705351905,186";"0";;
"1705351905,188";;"50893";
"1705351956,076";"0";;
"1705351956,079";;"50891";
"1705352006,967";"0";;
"1705352006,969";;"50892";
"1705352057,858";"0";;
"1705352057,86";;"50892";
"1705352108,748";"0";;
"1705352108,75";;"50891";
"1705352159,638";"0";;
"1705352159,64";;"50890";
"1705352210,527";"0";;
"1705352210,53";;"50891";
"1705352261,417";"0";;
"1705352261,419";;"50890";
"1705352312,306";"0";;
"1705352312,308";;"50890";
"1705352363,197";"0";;
"1705352363,199";;"50892";
"1705352414,088";"0";;
"1705352414,09";;"50892";
"1705352464,979";"0";;
"1705352464,982";;"50893";
"1705352515,871";"0";;
"1705352515,873";;"50892";
"1705352566,762";"0";;
"1705352566,764";;"50892";
"1705352617,653";"0";;
"1705352617,656";;"50892";
"1705352668,545";"0";;
"1705352668,547";;"50893";
"1705352719,436";"0";;
"1705352719,439";;"50892";
"1705352770,327";"0";;
"1705352770,329";;"50892";
"1705352821,218";"0";;
"1705352821,22";;"50892";
"1705352872,109";"0";;
"1705352872,111";;"50892";
"1705352923";"0";;
"1705352923,002";;"50892";
"1705352973,892";"0";;
"1705352973,894";;"50893";
"1705353024,784";"0";;
"1705353024,786";;"50893";
"1705353075,676";"0";;
"1705353075,68";;"50892";
"1705353126,567";"0";;
"1705353126,569";;"50892";
"1705353177,459";"0";;
"1705353177,461";;"50893";
"1705353228,35";"0";;
"1705353228,352";;"50892";
"1705353279,24";"0";;
"1705353279,243";;"50891";
"1705353330,131";"0";;
"1705353330,134";;"50892";
"1705353381,022";"0";;
"1705353381,025";;"50892";
"1705353431,916";"0";;
"1705353431,917";;"50893";
"1705353482,806";"0";;
"1705353482,807";;"50892";
"1705353533,697";"0";;
"1705353533,699";;"50892";
"1705353584,588";"0";;
"1705353584,59";;"50893";
"1705353635,479";"0";;
"1705353635,481";;"50892";
"1705353686,371";"0";;
"1705353686,374";;"50893";
"1705353737,263";"0";;
"1705353737,265";;"50892";
"1705353788,153";"0";;
"1705353788,156";;"50892";
"1705353839,045";"0";;
"1705353839,047";;"50892";
"1705353889,936";"0";;
"1705353889,939";;"50893";
"1705353940,828";"0";;
"1705353940,83";;"50892";
"1705353991,72";"0";;
"1705353991,722";;"50893";
"1705354042,611";"0";;
"1705354042,613";;"50892";
"1705354093,502";"0";;
"1705354093,504";;"50892";
"1705354144,393";"0";;
"1705354144,395";;"50892";
"1705354195,285";"0";;
"1705354195,287";;"50893";
"1705354246,177";"0";;
"1705354246,179";;"50893";
"1705354297,069";"0";;
"1705354297,071";;"50893";
"1705354347,962";"0";;
"1705354347,964";;"50894";
"1705354398,854";"0";;
"1705354398,857";;"50893";
"1705354449,747";"0";;
"1705354449,749";;"50894";
"1705354500,64";"0";;
"1705354500,642";;"50894";
"1705354551,532";"0";;
"1705354551,534";;"50892";
"1705354602,424";"0";;
"1705354602,426";;"50894";
"1705354653,317";"0";;
"1705354653,319";;"50893";
"1705354704,209";"0";;
"1705354704,211";;"50894";
"1705354755,102";"0";;
"1705354755,105";;"50894";
"1705354805,995";"0";;
"1705354805,998";;"50894";
"1705354856,889";"0";;
"1705354856,891";;"50894";
"1705354907,782";"0";;
"1705354907,784";;"50894";
"1705354958,675";"0";;
"1705354958,677";;"50894";
"1705355009,568";"0";;
"1705355009,57";;"50894";
"1705355060,462";"0";;
"1705355060,464";;"50895";
"1705355111,355";"0";;
"1705355111,358";;"50894";
"1705355162,249";"0";;
"1705355162,25";;"50894";
"1705355213,14";"0";;
"1705355213,142";;"50893";
"1705355264,033";"0";;
"1705355264,035";;"50894";
"1705355314,925";"0";;
"1705355314,928";;"50893";
"1705355365,818";"0";;
"1705355365,82";;"50893";
"1705355416,711";"0";;
"1705355416,713";;"50894";
"1705355467,603";"0";;
"1705355467,606";;"50894";
