timestamp(ms),DataLoss,Millisekunden_pro_10000_Nachrichten,
"1705409214.789",,"2150",
"1705409216.937","0",,
"1705409216.939",,"2151",
"1705409219.11","0",,
"1705409219.113",,"2151",
"1705409221.238","0",,
"1705409221.241",,"2150",
"1705409223.389","0",,
"1705409223.391",,"2151",
"1705409225.54","0",,
"1705409225.542",,"2151",
"1705409227.69","0",,
"1705409227.692",,"2150",
"1705409229.84","0",,
"1705409229.842",,"2150",
"1705409231.991","0",,
"1705409231.993",,"2151",
"1705409234.142","0",,
"1705409234.144",,"2151",
"1705409236.292","0",,
"1705409236.294",,"2150",
"1705409238.442","0",,
"1705409238.446",,"2151",
"1705409240.593","0",,
"1705409240.595",,"2151",
"1705409242.744","0",,
"1705409242.746",,"2150",
"1705409244.894","0",,
"1705409244.896",,"2150",
"1705409247.045","0",,
"1705409247.047",,"2151",
"1705409249.195","0",,
"1705409249.197",,"2150",
"1705409251.345","0",,
"1705409251.347",,"2150",
"1705409253.495","0",,
"1705409253.498",,"2151",
"1705409255.646","0",,
"1705409255.648",,"2151",
"1705409257.796","0",,
"1705409257.799",,"2150",
"1705409259.947","0",,
"1705409259.949",,"2151",
"1705409262.098","0",,
"1705409262.1",,"2151",
"1705409264.248","0",,
"1705409264.251",,"2150",
"1705409266.398","0",,
"1705409266.401",,"2150",
"1705409268.549","0",,
"1705409268.552",,"2151",
"1705409270.7","0",,
"1705409270.702",,"2151",
"1705409272.85","0",,
"1705409272.852",,"2150",
"1705409275","0",,
"1705409275.002",,"2150",
"1705409277.151","0",,
"1705409277.153",,"2151",
"1705409279.301","0",,
"1705409279.313",,"2150",
"1705409281.451","0",,
"1705409281.453",,"2150",
"1705409283.602","0",,
"1705409283.605",,"2152",
"1705409285.753","0",,
"1705409285.755",,"2150",
"1705409287.902","0",,
"1705409287.905",,"2150",
"1705409290.053","0",,
"1705409290.056",,"2151",
"1705409292.204","0",,
"1705409292.206",,"2150",
"1705409294.354","0",,
"1705409294.356",,"2150",
"1705409296.504","0",,
"1705409296.506",,"2151",
"1705409298.655","0",,
"1705409298.657",,"2151",
"1705409300.805","0",,
"1705409300.807",,"2150",
"1705409302.955","0",,
"1705409302.958",,"2150",
"1705409305.107","0",,
"1705409305.109",,"2151",
"1705409307.257","0",,
"1705409307.259",,"2151",
"1705409309.407","0",,
"1705409309.41",,"2150",
"1705409311.558","0",,
"1705409311.56",,"2150",
"1705409313.708","0",,
"1705409313.71",,"2151",
"1705409315.858","0",,
"1705409315.86",,"2150",
"1705409318.008","0",,
"1705409318.01",,"2150",
"1705409320.159","0",,
"1705409320.161",,"2151",
"1705409322.309","0",,
"1705409322.312",,"2150",
"1705409324.462","0",,
"1705409324.464",,"2151",
"1705409326.611","0",,
"1705409326.613",,"2151",
"1705409328.761","0",,
"1705409328.764",,"2150",
"1705409330.911","0",,
"1705409330.914",,"2150",
"1705409333.062","0",,
"1705409333.064",,"2151",
"1705409335.213","0",,
"1705409335.215",,"2151",
"1705409337.363","0",,
"1705409337.367",,"2150",
"1705409339.513","0",,
"1705409339.515",,"2150",
"1705409341.664","0",,
"1705409341.666",,"2151",
"1705409343.814","0",,
"1705409343.816",,"2150",
"1705409345.964","0",,
"1705409345.967",,"2151",
"1705409348.116","0",,
"1705409348.118",,"2151",
"1705409350.266","0",,
"1705409350.268",,"2150",
"1705409352.416","0",,
"1705409352.418",,"2150",
"1705409354.567","0",,
"1705409354.569",,"2151",
"1705409356.717","0",,
"1705409356.719",,"2151",
"1705409358.867","0",,
"1705409358.869",,"2150",
"1705409361.018","0",,
"1705409361.02",,"2150",
"1705409363.169","0",,
"1705409363.171",,"2151",
"1705409365.319","0",,
"1705409365.321",,"2150",
"1705409367.477","0","2150",
